pr_number,title,url,state,merged,primary_category,work_area,solution_type,hardware_scope,operator_keywords,top_patterns
282,[Setup] Check CUDA_HOME instead of cuda.is_available() in setup.py,https://github.com/vllm-project/vllm/pull/282,closed,False,development,ci_build,dependency_fix,nvidia,cuda,build_dependency_packaging;hardware_arch_guard;metadata_layout_contract
305,[wip] support multi-query-attention,https://github.com/vllm-project/vllm/pull/305,closed,False,performance,attention_kv_cache,dependency_fix,,attention,build_dependency_packaging
382,"Fix single_attn compilation bug when block_size = 256, scalar_t = float",https://github.com/vllm-project/vllm/pull/382,closed,False,development,attention_kv_cache,kernel_fix,,attention,build_dependency_packaging;metadata_layout_contract
409,Fast GELU CUDA kernel,https://github.com/vllm-project/vllm/pull/409,closed,False,correctness,activation_norm,kernel_fix,nvidia,activation;cuda;kernel,verification_benchmarking;hardware_arch_guard;bitwise_determinism_equivalence;backend_routing_fallback
420,[OPTIMIZATION] Optimizes the single_query_cached_kv_attention kernel,https://github.com/vllm-project/vllm/pull/420,closed,False,performance,,performance_optimization,nvidia,kernel,verification_benchmarking;hardware_arch_guard;model_format_adapter;metadata_layout_contract
438,[BUG FIX] fix some issues in singe_query_attention_kernel to fit big block size,https://github.com/vllm-project/vllm/pull/438,closed,False,performance,attention_kv_cache,kernel_fix,,attention;kernel,build_dependency_packaging;verification_benchmarking;dtype_quantization_path;metadata_layout_contract
452,Optimize MQA Kernel,https://github.com/vllm-project/vllm/pull/452,closed,False,performance,attention_kv_cache;model_support,performance_optimization,,attention;kernel,model_format_adapter
635,Add Support for chatglm2,https://github.com/vllm-project/vllm/pull/635,closed,False,performance,attention_kv_cache;model_support,performance_optimization,,attention,verification_benchmarking;model_format_adapter
649,Add support for chatglm2,https://github.com/vllm-project/vllm/pull/649,closed,False,performance,attention_kv_cache;frontend_api;model_support;sampling_logits,performance_optimization,,attention;sampling,build_dependency_packaging;model_format_adapter;verification_benchmarking;dtype_quantization_path
746,[Feature | CI] Added a github action to build wheels,https://github.com/vllm-project/vllm/pull/746,closed,False,development,ci_build,dependency_fix,nvidia,cuda,build_dependency_packaging;hardware_arch_guard;model_format_adapter
753,Align with huggingface Top K sampling,https://github.com/vllm-project/vllm/pull/753,closed,False,correctness,attention_kv_cache;frontend_api;model_support;sampling_logits,test_added,,attention;sampling,model_format_adapter;build_dependency_packaging;scheduler_request_lifecycle;verification_benchmarking;metadata_layout_contract
773,set default coompute capability according to cuda version,https://github.com/vllm-project/vllm/pull/773,closed,False,development,ci_build,kernel_fix,nvidia,cuda,build_dependency_packaging;hardware_arch_guard;kv_cache_capacity_offload
820,[Sampler] Vectorized sampler,https://github.com/vllm-project/vllm/pull/820,closed,False,performance,frontend_api;model_support;sampling_logits,performance_optimization,nvidia,sampling,model_format_adapter;verification_benchmarking;hardware_arch_guard;scheduler_request_lifecycle;backend_routing_fallback
828,Implement approximate GELU kernels,https://github.com/vllm-project/vllm/pull/828,closed,False,correctness,activation_norm,kernel_fix,nvidia,activation;cuda;kernel,model_format_adapter;build_dependency_packaging;hardware_arch_guard
890,fix: add assertion when temperature applied logits are inf,https://github.com/vllm-project/vllm/pull/890,closed,False,correctness,sampling_logits,kernel_fix,nvidia,cuda;sampling,hardware_arch_guard;dtype_quantization_path;model_format_adapter;scheduler_request_lifecycle;metadata_layout_contract
926,Refactor AWQ support,https://github.com/vllm-project/vllm/pull/926,closed,False,development,ci_build;distributed_parallel;gemm_linear;quantization,dependency_fix,,quantization,build_dependency_packaging;hardware_arch_guard;model_format_adapter;scheduler_request_lifecycle;dtype_quantization_path
933,Avoid compiling kernels for double data type,https://github.com/vllm-project/vllm/pull/933,closed,False,development,,kernel_fix,nvidia,cuda;kernel,dtype_quantization_path;hardware_arch_guard;backend_routing_fallback
936,[BugFix] Fix NaN errors in paged attention kernel,https://github.com/vllm-project/vllm/pull/936,closed,False,correctness,attention_kv_cache,kernel_fix,,attention;kernel,build_dependency_packaging;metadata_layout_contract
945,[FIX] Fix Alibi implementation in PagedAttention kernel,https://github.com/vllm-project/vllm/pull/945,closed,False,correctness,attention_kv_cache,kernel_fix,,attention;kernel,verification_benchmarking
992,fix: CUDA error when inferencing with Falcon-40B base model,https://github.com/vllm-project/vllm/pull/992,closed,False,development,model_support,kernel_fix,nvidia,cuda,model_format_adapter;build_dependency_packaging;hardware_arch_guard
1004,Use FP32 in RoPE initialization,https://github.com/vllm-project/vllm/pull/1004,closed,False,correctness,model_support,kernel_fix,,kernel,model_format_adapter;build_dependency_packaging;bitwise_determinism_equivalence
1028,[Feature] Prototype of vLLM execution on CPU-only devices,https://github.com/vllm-project/vllm/pull/1028,closed,False,performance,attention_kv_cache;ci_build;model_support;quantization,performance_optimization,nvidia,attention;cuda;operator;quantization,dtype_quantization_path;build_dependency_packaging;model_format_adapter;verification_benchmarking;hardware_arch_guard
1073,Add safetensors support for quantized models,https://github.com/vllm-project/vllm/pull/1073,closed,False,development,model_support;quantization,kernel_fix,,quantization,model_format_adapter;dtype_quantization_path
1112,Support int8 KVCacheQuant and W8A8 inference in vllm,https://github.com/vllm-project/vllm/pull/1112,closed,False,performance,attention_kv_cache;ci_build;frontend_api;gemm_linear;model_support;quantization;scheduler_memory,kernel_fix,nvidia,cache;cuda;gemm;kernel;quantization,build_dependency_packaging;verification_benchmarking;hardware_arch_guard;dtype_quantization_path;model_format_adapter
1123,Replace torch.cuda.DtypeTensor with torch.tensor,https://github.com/vllm-project/vllm/pull/1123,closed,False,development,,kernel_fix,nvidia,cuda,build_dependency_packaging;hardware_arch_guard;verification_benchmarking;dtype_quantization_path
1154,Allocate more shared memory to attention kernel,https://github.com/vllm-project/vllm/pull/1154,closed,False,correctness,attention_kv_cache;hardware_porting;sampling_logits,kernel_fix,nvidia,attention;cuda;kernel,hardware_arch_guard;verification_benchmarking;dtype_quantization_path;bitwise_determinism_equivalence
1223,Fix OOM in attention kernel test,https://github.com/vllm-project/vllm/pull/1223,closed,False,performance,attention_kv_cache,kernel_fix,,attention;kernel,verification_benchmarking;kv_cache_capacity_offload;backend_routing_fallback
1239,Fix error message on `TORCH_CUDA_ARCH_LIST`,https://github.com/vllm-project/vllm/pull/1239,closed,False,development,model_support,kernel_fix,nvidia,cuda,hardware_arch_guard;model_format_adapter
1241,fix vulnerable memory modification to gpu shared memory,https://github.com/vllm-project/vllm/pull/1241,closed,False,performance,,kernel_fix,nvidia,cuda;kernel,hardware_arch_guard
1252,workaround of AWQ for Turing GPUs,https://github.com/vllm-project/vllm/pull/1252,closed,False,performance,gemm_linear;model_support;quantization;sampling_logits,kernel_fix,nvidia,operator;quantization;sampling,build_dependency_packaging;hardware_arch_guard;model_format_adapter;dtype_quantization_path;moe_gemm_routing
1279,Attempt to pipe logit_bias to sampler's embedding_bias,https://github.com/vllm-project/vllm/pull/1279,closed,False,development,ci_build;frontend_api,kernel_fix,nvidia,cuda,build_dependency_packaging;hardware_arch_guard
1290,lock torch version to 2.0.1 when build for #1283,https://github.com/vllm-project/vllm/pull/1290,closed,False,development,ci_build,dependency_fix,nvidia,cuda,build_dependency_packaging;hardware_arch_guard
1295,Fix overflow in awq kernel,https://github.com/vllm-project/vllm/pull/1295,closed,False,correctness,model_support;quantization,kernel_fix,,kernel;quantization,model_format_adapter;dtype_quantization_path;metadata_layout_contract
1313,Port most vLLM kernels to ROCm,https://github.com/vllm-project/vllm/pull/1313,closed,False,development,ci_build;hardware_porting,dependency_fix,amd,kernel,build_dependency_packaging;hardware_arch_guard;model_format_adapter;dtype_quantization_path
1314,[Do not merge] Hacks for the ROCm port,https://github.com/vllm-project/vllm/pull/1314,closed,False,correctness,attention_kv_cache;hardware_porting,kernel_fix,amd;nvidia,attention;cuda;kernel,bitwise_determinism_equivalence;hardware_arch_guard;dtype_quantization_path;metadata_layout_contract;kv_cache_capacity_offload
1326,SqueezeLLM Support,https://github.com/vllm-project/vllm/pull/1326,closed,False,correctness,quantization,,,kernel;quantization,bitwise_determinism_equivalence;build_dependency_packaging;model_format_adapter;verification_benchmarking;dtype_quantization_path
1348,Implement PagedAttention V2,https://github.com/vllm-project/vllm/pull/1348,closed,False,performance,attention_kv_cache,kernel_fix,,attention;kernel,hardware_arch_guard
1350,Add dockerfile,https://github.com/vllm-project/vllm/pull/1350,closed,False,performance,ci_build;distributed_parallel;quantization,performance_optimization,nvidia,cuda,build_dependency_packaging;verification_benchmarking;hardware_arch_guard;scheduler_request_lifecycle;dtype_quantization_path
1377,Fix PyTorch version to 2.0.1 in workflow,https://github.com/vllm-project/vllm/pull/1377,closed,False,development,ci_build,kernel_fix,nvidia,cuda,build_dependency_packaging;hardware_arch_guard;verification_benchmarking
1395,fix RAM OOM when load large models in tensor parallel mode.,https://github.com/vllm-project/vllm/pull/1395,closed,False,performance,distributed_parallel;frontend_api;model_support;quantization;scheduler_memory,config_change,,quantization,model_format_adapter;scheduler_request_lifecycle;dtype_quantization_path;metadata_layout_contract;build_dependency_packaging
1416,A more memory-efficient(1/9) and faster  (10×)  cuda kernel for performing top-k and top-p operations.,https://github.com/vllm-project/vllm/pull/1416,closed,False,performance,ci_build;sampling_logits,kernel_fix,nvidia,cuda;kernel;operator;sampling,build_dependency_packaging;moe_gemm_routing;hardware_arch_guard;model_format_adapter;verification_benchmarking
1490,fix: Always initialize bias to zero for ColumnParallelLinear.,https://github.com/vllm-project/vllm/pull/1490,closed,False,correctness,attention_kv_cache;model_support;moe,kernel_fix,,attention;moe,verification_benchmarking;moe_gemm_routing;metadata_layout_contract;build_dependency_packaging;model_format_adapter
1496,fix: Always initialize bias to zero for ColumnParallelLinear.,https://github.com/vllm-project/vllm/pull/1496,closed,False,correctness,attention_kv_cache;model_support;moe,kernel_fix,,attention;moe,verification_benchmarking;moe_gemm_routing;metadata_layout_contract;build_dependency_packaging;model_format_adapter
1507,Support int8 KVCache Quant in Vllm,https://github.com/vllm-project/vllm/pull/1507,closed,False,performance,attention_kv_cache;frontend_api;model_support;quantization;scheduler_memory,performance_optimization,,cache;quantization,dtype_quantization_path;kv_cache_capacity_offload;build_dependency_packaging;model_format_adapter;scheduler_request_lifecycle
1508,Support W8A8 inference in vllm,https://github.com/vllm-project/vllm/pull/1508,closed,False,performance,attention_kv_cache;frontend_api;model_support;quantization,kernel_fix,nvidia,cache;cuda;quantization,hardware_arch_guard;model_format_adapter;verification_benchmarking;dtype_quantization_path;kv_cache_capacity_offload
1510,Force paged attention v2 for long contexts,https://github.com/vllm-project/vllm/pull/1510,closed,False,performance,attention_kv_cache,,,attention,
1523,Fork main,https://github.com/vllm-project/vllm/pull/1523,closed,False,performance,model_support,performance_optimization,,kernel,model_format_adapter;build_dependency_packaging;verification_benchmarking;metadata_layout_contract
1527,Upgrade to CUDA 12,https://github.com/vllm-project/vllm/pull/1527,closed,False,development,ci_build,kernel_fix,nvidia,cuda,build_dependency_packaging;hardware_arch_guard
1560,Feature : Support baichuan2 model and efficient multi-lora adapters in a single batch #182,https://github.com/vllm-project/vllm/pull/1560,closed,False,performance,frontend_api;model_support;quantization,performance_optimization,nvidia,kernel,verification_benchmarking;model_format_adapter;build_dependency_packaging;hardware_arch_guard;scheduler_request_lifecycle
1596,Build CUDA11.8 wheels for release,https://github.com/vllm-project/vllm/pull/1596,closed,False,development,ci_build,kernel_fix,nvidia,cuda,build_dependency_packaging;hardware_arch_guard
1622,TP/quantization/weight loading refactor part 2 - Refactor quantized linear logic and extend quantization support to all models,https://github.com/vllm-project/vllm/pull/1622,closed,False,correctness,attention_kv_cache;distributed_parallel;gemm_linear;model_support;quantization;sampling_logits,kernel_fix,,attention;quantization,model_format_adapter;build_dependency_packaging;hardware_arch_guard;verification_benchmarking;dtype_quantization_path
1628,Fix cpu heavy code in async function _AsyncLLMEngine._run_workers_async,https://github.com/vllm-project/vllm/pull/1628,closed,False,development,frontend_api,kernel_fix,nvidia,cuda,build_dependency_packaging;scheduler_request_lifecycle;hardware_arch_guard;verification_benchmarking;metadata_layout_contract
1664,[models] Microsoft Phi 1.5,https://github.com/vllm-project/vllm/pull/1664,closed,False,development,ci_build;gemm_linear;model_support,kernel_fix,nvidia,cuda,build_dependency_packaging;model_format_adapter;hardware_arch_guard;verification_benchmarking;bitwise_determinism_equivalence
1679,[WIP] Support for cached multi-query attention towards speculative decoding ,https://github.com/vllm-project/vllm/pull/1679,closed,False,performance,attention_kv_cache;speculative_decoding,kernel_fix,,attention;kernel,build_dependency_packaging;scheduler_request_lifecycle;kv_cache_capacity_offload;verification_benchmarking
1687,Fix loading error when safetensors contains empty tensor,https://github.com/vllm-project/vllm/pull/1687,closed,False,development,frontend_api;model_support;quantization,kernel_fix,,quantization,model_format_adapter;dtype_quantization_path;build_dependency_packaging;verification_benchmarking;bitwise_determinism_equivalence
1715,[Fix] Fix warning msg on quantization,https://github.com/vllm-project/vllm/pull/1715,closed,False,performance,model_support;quantization,kernel_fix,,quantization,model_format_adapter;dtype_quantization_path
1795,[WIP] Optimize model execution using torch.compile,https://github.com/vllm-project/vllm/pull/1795,closed,False,performance,attention_kv_cache;ci_build;model_support,performance_optimization,nvidia,attention;cuda,build_dependency_packaging;hardware_arch_guard;model_format_adapter
1804,Add multi-LoRA support,https://github.com/vllm-project/vllm/pull/1804,closed,False,correctness,attention_kv_cache;ci_build;distributed_parallel;frontend_api;gemm_linear;model_support;quantization;scheduler_memory,kernel_fix,nvidia,cache;cuda;kernel;quantization,model_format_adapter;scheduler_request_lifecycle;build_dependency_packaging;hardware_arch_guard;verification_benchmarking
1843,Refactor worker & InputMetadata,https://github.com/vllm-project/vllm/pull/1843,closed,False,development,attention_kv_cache;ci_build;model_support,kernel_fix,nvidia,cuda,build_dependency_packaging;hardware_arch_guard;model_format_adapter;scheduler_request_lifecycle;metadata_layout_contract
1858,Support max-model-len argument for throughput benchmark,https://github.com/vllm-project/vllm/pull/1858,closed,False,performance,model_support,kernel_fix,nvidia,cuda,model_format_adapter;verification_benchmarking;hardware_arch_guard
1860,[WIP] Qwen-style dynamic-NTK ROPE kernel for long sequence support,https://github.com/vllm-project/vllm/pull/1860,closed,False,performance,attention_kv_cache;ci_build;distributed_parallel;model_support,kernel_fix,nvidia,attention;cuda;kernel,build_dependency_packaging;model_format_adapter;hardware_arch_guard;scheduler_request_lifecycle;verification_benchmarking
1882,[Quantization] Update AWQ Kernel to Latest Implementation,https://github.com/vllm-project/vllm/pull/1882,closed,False,performance,ci_build;frontend_api;gemm_linear;model_support;quantization,kernel_fix,,kernel;quantization,build_dependency_packaging;verification_benchmarking;hardware_arch_guard;model_format_adapter;dtype_quantization_path
1883,[Docs] Update the AWQ documentation to highlight performance issue,https://github.com/vllm-project/vllm/pull/1883,closed,False,performance,quantization,performance_optimization,,quantization,dtype_quantization_path
1885,Aligning `top_p` and `top_k` Sampling,https://github.com/vllm-project/vllm/pull/1885,closed,False,correctness,sampling_logits,dependency_fix,nvidia,sampling,build_dependency_packaging;model_format_adapter;scheduler_request_lifecycle;moe_gemm_routing
1923,Added support for BUILD_VERSION env variable. Allow one to set build …,https://github.com/vllm-project/vllm/pull/1923,closed,False,development,ci_build,kernel_fix,nvidia,cuda,build_dependency_packaging;hardware_arch_guard
1926,Optimize model execution with CUDA graph,https://github.com/vllm-project/vllm/pull/1926,closed,False,performance,distributed_parallel;model_support,kernel_fix,nvidia,cuda,hardware_arch_guard;model_format_adapter
1950,[Docker] Add cuda arch list as build option,https://github.com/vllm-project/vllm/pull/1950,closed,False,development,ci_build,kernel_fix,nvidia,cuda,build_dependency_packaging;hardware_arch_guard;verification_benchmarking
1959,[FIX] Fix kernel bug,https://github.com/vllm-project/vllm/pull/1959,closed,False,performance,activation_norm;quantization,kernel_fix,nvidia,activation;cuda;kernel;operator;quantization,hardware_arch_guard;verification_benchmarking;dtype_quantization_path;moe_gemm_routing
1994,Replace head_mapping(tensor) with num_queries_per_kv(int),https://github.com/vllm-project/vllm/pull/1994,closed,False,performance,attention_kv_cache,kernel_fix,,attention;kernel,metadata_layout_contract
1997,Replace head_mapping params with num_kv_heads to attention kernel.,https://github.com/vllm-project/vllm/pull/1997,closed,False,performance,attention_kv_cache,kernel_fix,,attention;kernel,metadata_layout_contract
2009,Unpack qzeros in kernel,https://github.com/vllm-project/vllm/pull/2009,closed,False,performance,frontend_api;gemm_linear;quantization,kernel_fix,nvidia,cuda;gemm;kernel;quantization;triton,dtype_quantization_path;build_dependency_packaging;verification_benchmarking;hardware_arch_guard;model_format_adapter
2062,Added DeciLM-7b and DeciLM-7b-instruct,https://github.com/vllm-project/vllm/pull/2062,closed,False,correctness,attention_kv_cache;model_support,kernel_fix,nvidia,attention;cuda;kernel,model_format_adapter;hardware_arch_guard;verification_benchmarking;build_dependency_packaging;scheduler_request_lifecycle
2068,Implement Triton-based AWQ kernel,https://github.com/vllm-project/vllm/pull/2068,closed,False,performance,ci_build;hardware_porting;model_support;quantization;sampling_logits,kernel_fix,amd,kernel;quantization;sampling;triton,build_dependency_packaging;dtype_quantization_path;model_format_adapter;backend_routing_fallback
2090,Mixtral expert parallelism,https://github.com/vllm-project/vllm/pull/2090,closed,False,performance,distributed_parallel;gemm_linear;model_support;moe;quantization,kernel_fix,nvidia,cuda;gemm;kernel;moe;quantization,moe_gemm_routing;hardware_arch_guard;model_format_adapter;scheduler_request_lifecycle;verification_benchmarking
2131,"Compiled model with torch.compile, unfortunately without performance improvements",https://github.com/vllm-project/vllm/pull/2131,closed,False,performance,ci_build;frontend_api;model_support;quantization,performance_optimization,nvidia,cuda;quantization,model_format_adapter;build_dependency_packaging;hardware_arch_guard;verification_benchmarking;dtype_quantization_path
2151,Fix all-reduce memory usage,https://github.com/vllm-project/vllm/pull/2151,closed,False,performance,distributed_parallel;scheduler_memory,kernel_fix,nvidia,cuda,hardware_arch_guard;model_format_adapter;scheduler_request_lifecycle
2155,Pin PyTorch & xformers versions,https://github.com/vllm-project/vllm/pull/2155,closed,False,development,ci_build,kernel_fix,nvidia,cuda,build_dependency_packaging;hardware_arch_guard
2163,[BugFix] Raise error when max_model_len is larger than KV cache size,https://github.com/vllm-project/vllm/pull/2163,closed,False,development,attention_kv_cache,,,cache,model_format_adapter;kv_cache_capacity_offload
2169,Faster and memory efficient top-p top-k kernel,https://github.com/vllm-project/vllm/pull/2169,closed,False,performance,ci_build;sampling_logits,kernel_fix,,kernel;sampling,build_dependency_packaging;dtype_quantization_path;verification_benchmarking;moe_gemm_routing
2177,fix stream problem in Sampler,https://github.com/vllm-project/vllm/pull/2177,closed,False,correctness,frontend_api;model_support;quantization,kernel_fix,,quantization,model_format_adapter;hardware_arch_guard;dtype_quantization_path;metadata_layout_contract
2182,[Minor] Add warning on CUDA graph memory usage,https://github.com/vllm-project/vllm/pull/2182,closed,False,performance,,kernel_fix,nvidia,cuda,hardware_arch_guard;kv_cache_capacity_offload
2188,[WIP] Speculative decoding using a draft model,https://github.com/vllm-project/vllm/pull/2188,closed,False,performance,attention_kv_cache;distributed_parallel;model_support;sampling_logits;scheduler_memory;speculative_decoding,performance_optimization,,attention;sampling,model_format_adapter;scheduler_request_lifecycle;verification_benchmarking;metadata_layout_contract;build_dependency_packaging
2190,[Bugfix] Fix the non-blocking behavior of the sampler,https://github.com/vllm-project/vllm/pull/2190,closed,False,performance,frontend_api;sampling_logits;scheduler_memory,kernel_fix,nvidia,cuda;sampling,hardware_arch_guard;scheduler_request_lifecycle;metadata_layout_contract
2192,Custom all reduce kernels,https://github.com/vllm-project/vllm/pull/2192,closed,False,correctness,activation_norm;ci_build;distributed_parallel;gemm_linear;model_support,performance_optimization,nvidia,activation;cuda;gemm;kernel,verification_benchmarking;build_dependency_packaging;model_format_adapter;hardware_arch_guard;kv_cache_capacity_offload
2223,"Add GPTQ quantization kernels for 2, 3, 8-bit use cases",https://github.com/vllm-project/vllm/pull/2223,closed,False,correctness,model_support;quantization;sampling_logits,kernel_fix,nvidia,cuda;kernel;quantization;sampling;triton,model_format_adapter;hardware_arch_guard;verification_benchmarking;scheduler_request_lifecycle;dtype_quantization_path
2244,macos / ARM support for vllm,https://github.com/vllm-project/vllm/pull/2244,closed,False,performance,ci_build;frontend_api;model_support;quantization;sampling_logits,kernel_fix,nvidia,cuda;quantization,build_dependency_packaging;dtype_quantization_path;hardware_arch_guard;model_format_adapter;verification_benchmarking
2279,Support FP8-E5M2 KV Cache,https://github.com/vllm-project/vllm/pull/2279,closed,False,correctness,attention_kv_cache;model_support;quantization;sampling_logits,performance_optimization,nvidia,attention;cache;fp8;kernel;quantization;sampling,verification_benchmarking;dtype_quantization_path;model_format_adapter;build_dependency_packaging;hardware_arch_guard
2293,tensor parallel MOE implementation,https://github.com/vllm-project/vllm/pull/2293,closed,False,performance,distributed_parallel;frontend_api;gemm_linear;moe,,nvidia,gemm;moe,moe_gemm_routing;build_dependency_packaging;hardware_arch_guard;scheduler_request_lifecycle;verification_benchmarking
2330,Add Support for 2/3/8-bit GPTQ Quantization Models,https://github.com/vllm-project/vllm/pull/2330,closed,False,performance,frontend_api;hardware_porting;model_support;quantization,kernel_fix,amd;nvidia,cuda;kernel;quantization,verification_benchmarking;hardware_arch_guard;model_format_adapter;dtype_quantization_path;build_dependency_packaging
2355,[CI] Add Buildkite,https://github.com/vllm-project/vllm/pull/2355,closed,False,performance,ci_build;model_support,kernel_fix,nvidia,kernel,build_dependency_packaging;verification_benchmarking;metadata_layout_contract;hardware_arch_guard;model_format_adapter
2357,Scheduler policy to maximize throughput,https://github.com/vllm-project/vllm/pull/2357,closed,False,performance,frontend_api;model_support;quantization;scheduler_memory,performance_optimization,nvidia,cuda;quantization,model_format_adapter;verification_benchmarking;hardware_arch_guard;dtype_quantization_path;scheduler_request_lifecycle
2368,Compute logits*V in FP32 in attention kernel to improve numerical accuracy,https://github.com/vllm-project/vllm/pull/2368,closed,False,correctness,attention_kv_cache;sampling_logits,kernel_fix,,attention;kernel,bitwise_determinism_equivalence;verification_benchmarking;dtype_quantization_path
2378,[Feature][WIP] Prototype of vLLM execution on Intel GPU devices via SYCL.,https://github.com/vllm-project/vllm/pull/2378,closed,False,development,ci_build;hardware_porting;model_support;scheduler_memory,dependency_fix,,kernel,build_dependency_packaging;hardware_arch_guard;model_format_adapter;scheduler_request_lifecycle;verification_benchmarking
2401,[Performance] Support MQA/GQA in prefill stage by using FlashAttention,https://github.com/vllm-project/vllm/pull/2401,closed,False,performance,attention_kv_cache;hardware_porting;sampling_logits,performance_optimization,nvidia,attention,hardware_arch_guard;verification_benchmarking;dtype_quantization_path;model_format_adapter;backend_routing_fallback
2409,[ROCm] Fixing or skipping some unit tests,https://github.com/vllm-project/vllm/pull/2409,closed,False,development,ci_build;distributed_parallel;frontend_api;hardware_porting,kernel_fix,amd;nvidia,cuda;kernel,build_dependency_packaging;hardware_arch_guard;scheduler_request_lifecycle;verification_benchmarking
2437,[Minor] Optimize cuda graph memory usage,https://github.com/vllm-project/vllm/pull/2437,closed,False,performance,,kernel_fix,nvidia,cuda,hardware_arch_guard;verification_benchmarking
2453,DeepseekMoE support with Fused MoE kernel,https://github.com/vllm-project/vllm/pull/2453,closed,False,performance,distributed_parallel;frontend_api;model_support;moe;sampling_logits,kernel_fix,nvidia,kernel;moe;sampling,model_format_adapter;verification_benchmarking;moe_gemm_routing;build_dependency_packaging;hardware_arch_guard
2497,Integrate Marlin Kernels for Int4 GPTQ inference,https://github.com/vllm-project/vllm/pull/2497,closed,False,performance,distributed_parallel;quantization;scheduler_memory,kernel_fix,,kernel;quantization,scheduler_request_lifecycle;dtype_quantization_path;hardware_arch_guard;model_format_adapter;verification_benchmarking
