issue_number,title,url,priority,clusters,comments_count,linked_prs,work_area,evidence,wiki_page
26480,[Bug][v0.11.0]: gpt-oss-120b generates with no output,https://github.com/vllm-project/vllm/issues/26480,40,prefix_cache_equivalence;batch_invariance;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,45,#40376,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;moe;quantization;sampling_logits;scheduler_memory,"ughput: 43.6 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0% vllm | (APIServer pid=1) INFO 10-09 11:01:17 [loggers.py:127] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 0.0 tokens...",cases/26xxx/26480-bug-v0-11-0-gpt-oss-120b-generates-with-no-output.md
43472,DSV4-Pro MTP draft: stacked attn FP8 scale loader gap + MTP forward-path mainline-vs-fork divergence,https://github.com/vllm-project/vllm/issues/43472,40,kernel_autotune_reduction;quant_dtype_semantics;verification_contract;backend_specific_drift,6,#43248;#43288;#43290;#43319,activation_norm;attention_kv_cache;ci_build;distributed_parallel;gemm_linear;model_support;moe;quantization;sampling_logits;speculative_decoding,DSV4-Pro MTP draft: stacked attn FP8 scale loader gap + MTP forward-path mainline-vs-fork divergence activation_norm;attention_kv_cache;ci_build;distributed_parallel;gemm_linear;model_support;moe;quantization;sampling_logits;speculative_decoding t: stacked at...,cases/43xxx/43472-dsv4-pro-mtp-draft-stacked-attn-fp8-scale-loader-gap-mtp-forward-path-.md
16259,[Bug]: vLLM still runs after Ray workers crash,https://github.com/vllm-project/vllm/issues/16259,39,prefix_cache_equivalence;batch_invariance;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,14,,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;quantization;sampling_logits;scheduler_memory;speculative_decoding,"ulative_decoding ns/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0% INFO: 2:48512 - ""GET /metrics HTTP/1.1"" 200 OK INFO: 5:40784 - ""GET /health HTTP/1.1"" 200 OK INFO: 5:40786 - ""GET /health HTT... [Bug]: vLLM still r...",cases/16xxx/16259-bug-vllm-still-runs-after-ray-workers-crash.md
38887,[Bug]: Gemma 4 E4B extremely slow on v0.19.0  forced TRITON_ATTN fallback yields ~9 tok/s on RTX 4090 (vs ~100+ tok/s for comparable Llama 3B),https://github.com/vllm-project/vllm/issues/38887,39,prefix_cache_equivalence;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,8,#38891;#42069,attention_kv_cache;frontend_api;model_support;scheduler_memory,t;scheduler_memory al_head_dim=512). Forcing TRITON_ATTN backend to prevent mixed-backend numerical divergence. INFO [cuda.py:274] Using AttentionBackendEnum.TRITON_ATTN backend. INFO [loggers.py:259] Engine 000: Avg prompt throughput: 1.... [Bug]: Gemma 4 E4...,cases/38xxx/38887-bug-gemma-4-e4b-extremely-slow-on-v0-19-0-forced-triton-attn-fallback-.md
27364,"[Bug]: Qwen3-VL {4B,8B} FP8 on vLLM returns only exclamation marks (""!!!!!..."") on Jetson Thor",https://github.com/vllm-project/vllm/issues/27364,37,batch_invariance;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,11,#39666,attention_kv_cache;ci_build;distributed_parallel;frontend_api;gemm_linear;hardware_porting;model_support;moe;multimodal_vlm;quantization;sampling_logits;scheduler_memory;speculative_decoding,"=[{""role"": ""user"", ""content"": [{""type"":""text"",""text"": ""What's the capital of Japan?""}]}], temperature=0.0, top_p=1.0, extra_body={""top_k"": 1}, max_tokens=512, ) print(resp.choices[0].message.content) Overriding to greedy (temperature=0, top_p=1, top_k=1, repe...",cases/27xxx/27364-bug-qwen3-vl-4b-8b-fp8-on-vllm-returns-only-exclamation-marks-on-jetso.md
36117,[Bug]: Qwen3-VL-2B-Instruct produces significantly different (degraded) outputs on v0.12.0 compared to v0.11.0,https://github.com/vllm-project/vllm/issues/36117,37,quant_dtype_semantics;verification_contract;backend_specific_drift,11,#27418;#28455,attention_kv_cache;ci_build;distributed_parallel;gemm_linear;model_support;multimodal_vlm;sampling_logits,";sampling_logits puts. The model produces systematically biased coordinates, resulting in accuracy dropping from **~60% to ~13%** on PointBench. This is **not** a scoring/evaluation issue — the raw model outputs are fundamentally differ... [Bug]: Qwen3-VL-2B-...",cases/36xxx/36117-bug-qwen3-vl-2b-instruct-produces-significantly-different-degraded-out.md
41838,[Bug]: Eagle 2/3 acceptance length regression over time,https://github.com/vllm-project/vllm/issues/41838,37,prefix_cache_equivalence;batch_invariance;kv_identity_concurrency;quant_dtype_semantics;verification_contract,16,#14464;#14990;#42359,activation_norm;attention_kv_cache;distributed_parallel;frontend_api;model_support;quantization;scheduler_memory;speculative_decoding,"ulative_decoding h Eagle2 and Eagle3 shows regression of AL over time. 9. TTFT and prefix cache hit rate appear stable. 10. Running Model B with newer vLLM version 0.19.1 does not fix the problem, regression is still observed. # Relevan... [Bug]: Eagle 2/3 ac...",cases/41xxx/41838-bug-eagle-2-3-acceptance-length-regression-over-time.md
37996,[Bug]: Qwen3.5 397B GPTQ model outputs all exclamation points on ROCM,https://github.com/vllm-project/vllm/issues/37996,36,prefix_cache_equivalence;batch_invariance;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,13,,activation_norm;attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;moe;multimodal_vlm;quantization;sampling_logits;scheduler_memory;speculative_decoding,"ulative_decoding ns/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 6.2%, Prefix cache hit rate: 0.0% (APIServer pid=1) INFO 03-24 10:53:11 [loggers.py:259] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throug... [Bug]: Qwen3.5 397B...",cases/37xxx/37996-bug-qwen3-5-397b-gptq-model-outputs-all-exclamation-points-on-rocm.md
41651,[Bug]: FlashInfer attention + FP8 KV cache + CUDA graphs produces random output on RTX 6000 Pro Blackwell (sm_120); TRITON_ATTN backend works,https://github.com/vllm-project/vllm/issues/41651,36,batch_invariance;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,5,#42580;#42650;#43044;#43047,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;quantization;sampling_logits,"ns on the Moon, and who were its three crew members? Answer in one sentence.""* Sampling: `temperature=0`. **Compile / cudagraph configuration that triggers the bug** (from engine init log) ```text compilation_config.mode = VLLM_COMPILE (3) cudagraph_mode = FU...",cases/41xxx/41651-bug-flashinfer-attention-fp8-kv-cache-cuda-graphs-produces-random-outp.md
16692,[Bug]: Problems with vllm serve DeepSeek-R1 with 2 nodes and TP = 16（include vllm v0.8.4 v0.7.3 v0.7.2 V0 V1 engine）,https://github.com/vllm-project/vllm/issues/16692,35,prefix_cache_equivalence;batch_invariance;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,13,,attention_kv_cache;ci_build;distributed_parallel;frontend_api;model_support;moe;quantization;sampling_logits;scheduler_memory,"scheduler_memory ns/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0% INFO: 172.20.235.128:58244 - ""GET /health HTTP/1.1"" 200 OK INFO 04-16 10:32:37 [loggers.py:87] Engine 000: Avg prompt through... [Bug]: Problems wit...",cases/16xxx/16692-bug-problems-with-vllm-serve-deepseek-r1-with-2-nodes-and-tp-16-includ.md
20170,[Bug]:RuntimeError: CUDA error: an illegal memory access was encountered,https://github.com/vllm-project/vllm/issues/20170,35,kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,7,#4;#6;#7,ci_build;distributed_parallel;frontend_api;model_support;quantization;sampling_logits;scheduler_memory,scheduler_memory its;scheduler_memory cuda;kernel;quantization;sampling build_error;crash;mismatch dtype;env_dependency;shape #4 Use FlashAttention for `multi_query_kv_attention` | #6 Automatically configure KV cache size | #7 Support b... [Bug]:RuntimeError:...,cases/20xxx/20170-bug-runtimeerror-cuda-error-an-illegal-memory-access-was-encountered.md
39589,"[Bug]: KV Cache Read/Write Index Corruption Under Concurrent Prefill of Variable-Length Sequences (vLLM V1, FlashInfer)",https://github.com/vllm-project/vllm/issues/39589,35,prefix_cache_equivalence;batch_invariance;kernel_autotune_reduction;kv_identity_concurrency;verification_contract;backend_specific_drift,1,#39283;#39591,attention_kv_cache;ci_build;distributed_parallel;frontend_api;gemm_linear;hardware_porting;model_support;sampling_logits;speculative_decoding,"ulative_decoding wo or more concurrent requests with **different prompt lengths** produce non-deterministic output at `temperature=0`, even with Batch-invariant enabled. The same requests sent sequentially always produce identical outpu... [Bug]: KV Cache Rea...",cases/39xxx/39589-bug-kv-cache-read-write-index-corruption-under-concurrent-prefill-of-v.md
39749,[Roadmap] vLLM Roadmap Q2 2026,https://github.com/vllm-project/vllm/issues/39749,34,batch_invariance;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,6,#44127,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;moe;multimodal_vlm;quantization;scheduler_memory;speculative_decoding,culative_decoding (scale up/down) production ready - [x] Bidirectional KV transfers - [ ] Numerics monitoring/debug harness - [ ] PD roadmap https://github.com/vllm-project/vllm/issues/33702 Call for experiments/prototypes: - [ ] Experim... [Roadmap] vLLM Roa...,cases/39xxx/39749-roadmap-vllm-roadmap-q2-2026.md
42068,Gemma 4 + DFlash incompatible: MTP-specific backend propagation forces TRITON_ATTN on independent (DFlash) drafters,https://github.com/vllm-project/vllm/issues/42068,34,kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,2,#41745;#42069,attention_kv_cache;ci_build;frontend_api;hardware_porting;model_support;sampling_logits;speculative_decoding,"(head_dim=256, global_head_dim=512). Forcing TRITON_ATTN backend to prevent mixed-backend numerical divergence. … INFO model.py Resolved architecture: DFlashDraftModel … INFO cuda.py Using AttentionBackendEnum.TRITON_ATTN backend. INFO cuda.py Using Attention...",cases/42xxx/42068-gemma-4-dflash-incompatible-mtp-specific-backend-propagation-forces-tr.md
42513,[Bug]: MTP produces different tokens than non-MTP at temperature=0 in eager mode,https://github.com/vllm-project/vllm/issues/42513,34,batch_invariance;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,0,#38938,activation_norm;attention_kv_cache;ci_build;gemm_linear;hardware_porting;sampling_logits;speculative_decoding,[Bug]: MTP produces different tokens than non-MTP at temperature=0 in eager mode activation_norm;attention_kv_cache;ci_build;gemm_linear;hardware_porting;sampling_logits;speculative_decoding han non-MTP decoding at temperature=0 when enforce_eager=True. The f...,cases/42xxx/42513-bug-mtp-produces-different-tokens-than-non-mtp-at-temperature-0-in-eag.md
6833,[Bug]: enable_prefix_caching leads to persistent illegal memory access error ,https://github.com/vllm-project/vllm/issues/6833,33,prefix_cache_equivalence;kernel_autotune_reduction;kv_identity_concurrency;backend_specific_drift,10,#7018;#7142,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;sampling_logits;scheduler_memory;speculative_decoding,ulative_decoding ;env_dependency #7018 [Bugfix] Fix block table for seqs that have prefix cache hits | #7142 [BugFix] Potential Fix to CUDA Illegal Memory Error Your current environment [Bug]: enable_prefix_caching leads to persistent illegal memory access er...,cases/06xxx/6833-bug-enable-prefix-caching-leads-to-persistent-illegal-memory-access-er.md
16510,[Bug]: broken gguf for phi4 with all vllm versions,https://github.com/vllm-project/vllm/issues/16510,33,prefix_cache_equivalence;batch_invariance;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,10,,activation_norm;attention_kv_cache;ci_build;distributed_parallel;frontend_api;model_support;quantization;sampling_logits;scheduler_memory,"scheduler_memory %, CPU KV cache usage: 0.0%. INFO 04-11 13:00:15 [metrics.py:497] Prefix cache hit rate: GPU: 0.00%, CPU: 0.00% INFO: 127.0.0.1:39986 - ""GET /v1/models HTTP/1.1"" 200 OK INFO 04-11 13:00:15 [logger.py:39] Received reques... [Bug]: broken gguf...",cases/16xxx/16510-bug-broken-gguf-for-phi4-with-all-vllm-versions.md
20021,[Bug]: [V1] DeepSeek MTP is broken since 0.9.0,https://github.com/vllm-project/vllm/issues/20021,33,kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,7,#18435;#20022,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;quantization;sampling_logits;scheduler_memory;speculative_decoding,ulative_decoding g cache;cuda;fp8;operator;quantization;sampling;triton build_error;crash;mismatch;nan_inf dtype;env_dependency;shape #18435 [V1] Support Deepseek MTP | #20022 [V1][Speculative Decoding] Fix DeepSeek MTP Your current env... [Bug]: [V1] DeepSee...,cases/20xxx/20021-bug-v1-deepseek-mtp-is-broken-since-0-9-0.md
25194,[Bug]: vLLM produces non-deterministic output due to Triton autotuner,https://github.com/vllm-project/vllm/issues/25194,33,prefix_cache_equivalence;kernel_autotune_reduction;verification_contract,0,#25197;#34648,ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;sampling_logits;speculative_decoding,[Bug]: vLLM produces non-deterministic output due to Triton autotuner ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;sampling_logits;speculative_decoding [Bug]: vLLM produces non-deterministic output due to Triton autotuner bug ###...,cases/25xxx/25194-bug-vllm-produces-non-deterministic-output-due-to-triton-autotuner.md
32992,[Bug]: Batch invariance fails on NVIDIA B200 (Blackwell) with torch.compile,https://github.com/vllm-project/vllm/issues/32992,33,batch_invariance;quant_dtype_semantics;verification_contract;backend_specific_drift,8,#33383,attention_kv_cache;ci_build;distributed_parallel;frontend_api;gemm_linear;hardware_porting;model_support;multimodal_vlm;quantization;sampling_logits;speculative_decoding,[Bug]: Batch invariance fails on NVIDIA B200 (Blackwell) with torch.compile attention_kv_cache;ci_build;distributed_parallel;frontend_api;gemm_linear;hardware_porting;model_support;multimodal_vlm;quantization;sampling_logits;speculative_decoding [Bug]: Batch...,cases/32xxx/32992-bug-batch-invariance-fails-on-nvidia-b200-blackwell-with-torch-compile.md
38884,[Bug]: Gemma 4 torch._dynamo.exc.TorchRuntimeError: Dynamo failed to run FX node with fake tensors,https://github.com/vllm-project/vllm/issues/38884,33,kernel_autotune_reduction;quant_dtype_semantics;verification_contract;backend_specific_drift,13,#40321,ci_build;distributed_parallel;frontend_api;gemm_linear;hardware_porting;model_support;moe;quantization;sampling_logits;scheduler_memory;speculative_decoding,ulative_decoding obal_head_dim=512). Forcing TRITON_ATTN backend to prevent mixed-backend numerical divergence. INFO 04-03 06:14:02 [vllm.py:790] Asynchronous scheduling is enabled. (EngineCore pid=1162690) INFO 04-03 06:14:05 [core.py:... [Bug]: Gemma 4 torc...,cases/38xxx/38884-bug-gemma-4-torch-dynamo-exc-torchruntimeerror-dynamo-failed-to-run-fx.md
39133,"[Bug]: Gemma 4 31B INT4 on 2×24GB GPUs (TP=2): GPU KV cache size is 25,200 tokens at max_model_len=131072, gpu_memory_utilization=0.96, BF16 KV",https://github.com/vllm-project/vllm/issues/39133,33,batch_invariance;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;backend_specific_drift,20,,attention_kv_cache;distributed_parallel;frontend_api;model_support;quantization;scheduler_memory,scheduler_memory obal_head_dim=512). Forcing TRITON_ATTN backend to prevent mixed-backend numerical divergence. INFO [cuda.py:302] Using AttentionBackendEnum.TRITON_ATTN backend. INFO [gpu_model_runner.py:4820] Model loading took 10.46... [Bug]: Gemma 4 31B I...,cases/39xxx/39133-bug-gemma-4-31b-int4-on-2-24gb-gpus-tp-2-gpu-kv-cache-size-is-25-200-t.md
6103,[Bug]: fused_moe_kernel compile bug,https://github.com/vllm-project/vllm/issues/6103,32,kernel_autotune_reduction;kv_identity_concurrency;verification_contract;backend_specific_drift,13,#5036;#6140,ci_build;distributed_parallel;hardware_porting;model_support;moe;sampling_logits;speculative_decoding,"future of AI is"", ] # Create a sampling params object. sampling_params = SamplingParams( temperature=0.8, top_p=0.95, logprobs=1, prompt_logprobs=1, max_tokens=128, ) # Create an LLM. model_path = ""Qwen1.5-MoE-A2.7B-Chat"" # Other models using the moe triton o...",cases/06xxx/6103-bug-fused-moe-kernel-compile-bug.md
7160,[Bug]: InternVL2 Mismatch in number of image tokens and image embedding size,https://github.com/vllm-project/vllm/issues/7160,32,kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,18,#7164,ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;multimodal_vlm;quantization;sampling_logits;speculative_decoding,[Bug]: InternVL2 Mismatch in number of image tokens and image embedding size ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;multimodal_vlm;quantization;sampling_logits;speculative_decoding [Bug]: InternVL2 Mismatch in number of imag...,cases/07xxx/7160-bug-internvl2-mismatch-in-number-of-image-tokens-and-image-embedding-s.md
